Id,ip,latitute,longitude
1,103.232.241.2,17.385000228881836,78.48670196533203
2,115.247.100.29,19.076000213623047,72.87770080566406
3,49.44.187.157,28.45949935913086,77.02660369873047
4,151.101.1.140,37.775001525878906,-122.41832733154297
5,66.250.250.201,30.314599990844727,-81.68160247802734
6,154.24.61.73,33.798458099365234,-84.3882827758789
7,154.54.87.117,38.906898498535156,-77.02839660644531
8,154.54.37.30,52.2317008972168,21.018339157104492
9,66.250.250.9,30.314599990844727,-81.68160247802734
10,154.54.90.38,25.762859344482422,-80.31195831298828
11,154.54.44.230,38.98371887207031,-77.38275909423828
12,154.54.80.118,38.906898498535156,-77.02839660644531
13,66.28.3.113,39.10771179199219,-94.53961181640625
14,154.54.2.29,21.32217025756836,-157.81410217285156
15,154.54.90.58,25.762859344482422,-80.31195831298828
